Detail,Name,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,lat,long,Pet_Friendly_Beach,Pets_Allowed,Yes,Showers,Campsite Electricity,Sanitation Station,Pressurized Water Spigots
State Park,Algonac State Park Riverfront,St. Clair,Algonac State Park,Modern,219,0,42.65408454,-82.51554299,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Algonac State Park Wagonwheel,St. Clair,Algonac State Park,Modern,75,3,42.65613621,-82.52288717,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Aloha State Park  ,Cheboygan,Aloha State Park,Modern,297,13,45.5173096,-84.46566105,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Baraga State Park  ,Baraga,Baraga State Park,Modern,120,0,46.76149118,-88.50048828,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Bay City Recreation Area  ,Bay,Bay City Recreation Area,Modern,184,0,43.66435991,-83.9020745,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Bewabic State Park  ,Iron,Bewabic State Park,Modern,148,0,46.08877859,-88.43361627,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Brighton Recreation Area Murray Lake,Livingston,Brighton Recreatino Area,Rustic,25,0,42.50723779,-83.8172831,No,Yes,,,,,
State Park,Brighton Recreation Area Appleton Lake,Livingston,Brighton Recreation Area,Rustic,25,0,42.50657502,-83.83450939,No,Yes,,,,,
State Park,Brighton Recreation Area Bishop Lake,Livingston,Brighton Recreation Area,Modern,144,0,42.50217232,-83.84723023,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Brighton Recreation Area Horseman's,Livingston,Brighton Recreation Area,Equestrian,8,0,42.50601192,-83.86645791,No,Yes,,,,,
State Park,Brimley State Park  ,Chippewa,Brimley State Park,Modern,272,0,46.41668676,-84.55454688,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Burt Lake State Park  ,Cheboygan,Burt Lake State Park,Modern,303,7,45.40057882,-84.62996909,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Cheboygan State park  ,Cheboygan,Cheboygan State park,Modern,74,0,45.65807302,-84.41887034,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Clear Lake State Park  ,Montmorency,Clear Lake State Park,Modern,199,0,45.1320138,-84.18392116,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Fayette State Park  ,Delta,Fayette State Park,Semi Modern,63,2,45.71164952,-86.66914922,No,Yes,,,,No,
State Park,Fisherman's Island State Park North,Charlevoix,Fisherman's Island State Park,Rustic,35,0,45.30547578,-85.31160276,No,Yes,,,,,
State Park,Fisherman's Island State Park South,Charlevoix,Fisherman's Island State Park,Rustic,35,0,45.28992061,-85.33422516,No,Yes,,,,,
State Park,Fort Custer Recreation Area  ,Kalamazoo,Fort Custer Recreation Area,Modern,217,11,42.31778604,-85.34841758,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Fort Wilkins State Park East,Keweenaw,Fort Wilkins State Park,Modern,81,0,47.46606558,-87.85913657,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Fort Wilkins State Park West,Keweenaw,Fort Wilkins State Park,Modern,78,0,47.46643727,-87.86969552,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Grand Haven State Park  ,Ottawa,Grand Haven State Park,Modern,198,5,43.05693187,-86.24806085,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Harrisville State Park  ,Alcona,Harrisville State Park,Modern,195,0,44.64895487,-83.29403493,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Hartwick Pines State Park  ,Crawford,Hartwick Pines State Park,Modern,103,6,44.73765116,-84.6849195,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Highland Recreation Area  ,Oakland,Highland Recreation Area,Equestrian,25,0,42.63556604,-83.54387884,No,Yes,,,,,
State Park,Hoeft State Park  ,Presque Isle,Hoeft State Park,Modern,141,0,45.46830326,-83.88603521,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Hoffmaster State Park  ,Muskegon,Hoffmaster State Park,Modern,293,0,43.13742574,-86.27382526,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Holland State Park Beach,Ottawa,Holland State Park,Modern,61,8,42.77981789,-86.20037653,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Holland State Park Lake Macatawa,Ottawa,Holland State Park,Modern,110,11,42.77531733,-86.20709641,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Holly Recreation Area Mcginnis Lake,Oakland,Holly Recreation Area,Modern,15,0,42.82500731,-83.53072829,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Holly Recreation Area Mcginnis Lake,Oakland,Holly Recreation Area,Modern,144,2,42.82548367,-83.52319757,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Indian Lakes State Park West,Schoolcraft,Indian Lakes State Park,Semi Modern,56,0,45.97040839,-86.36103863,No,Yes,,,,No,
State Park,Inidan Lakes State Park South,Schoolcraft,Inidan Lakes State Park,Modern,131,10,45.94616309,-86.32843164,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Interlochen State Park Duck Lake,Grand Traverse,Interlochen State Park,Modern,220,0,44.63138795,-85.76238922,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Interlochen State Park Duck Lake,Grand Traverse,Interlochen State Park,Modern,208,11,44.6254727,-85.75925239,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Interlochen State Park Green Lake,Grand Traverse,Interlochen State Park,Rustic,15,0,44.6231398,-85.76316468,No,Yes,,,,,
State Park,Interlochen State Park Green Lake,Grand Traverse,Interlochen State Park,Rustic,14,0,44.621491,-85.76106413,No,Yes,,,,,
State Park,Interlochen State Park Green Lake,Grand Traverse,Interlochen State Park,Rustic,31,0,44.62582035,-85.76553433,No,Yes,,,,,
State Park,Ionia Recreation Area  ,Ionia,Ionia Recreation Area,Modern,98,5,42.93781802,-85.11887,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Ionia Recreation Area  ,Ionia,Ionia Recreation Area,Equestrian,49,0,42.94033477,-85.11636673,No,Yes,,,,,
State Park,Lake Gogebic State Park  ,Gogebic,Lake Gogebic State Park,Modern,127,0,46.46040137,-89.57240802,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Lake Hudson State Park  ,Lenawee,Lake Hudson State Park,Semi Modern,50,0,41.82436458,-84.25992656,No,Yes,,,,No,
